day,max,min,mean,max_climatology,min_climatology,mean_climatology
1,9.9,6.0,7.9,9.9,5.9,7.9
2,10.1,6.2,8.1,9.9,5.9,7.9
3,10.6,6.3,8.4,9.9,5.9,7.9
4,10.9,6.7,8.8,9.9,5.9,7.9
5,11.0,6.9,8.9,9.9,5.9,7.9
6,11.0,6.8,8.9,9.9,5.9,7.9
7,11.3,7.0,9.0,9.9,5.9,7.9
8,11.5,7.3,9.4,9.9,5.9,7.9
9,11.4,7.2,9.2,9.9,5.9,7.9
10,11.2,7.0,9.1,9.9,5.9,7.9
11,10.8,6.9,8.8,9.9,5.9,7.9
12,10.6,6.7,8.6,9.9,5.9,7.9
13,10.5,6.5,8.5,9.9,5.9,7.9
14,10.4,6.5,8.4,9.9,5.9,7.9
15,10.5,6.6,8.6,9.9,5.9,7.9
16,10.5,6.5,8.5,9.9,5.9,7.9
17,10.5,6.5,8.4,9.9,5.9,7.9
18,10.7,6.5,8.6,9.9,5.9,7.9
19,10.7,6.5,8.6,9.9,5.9,7.9
20,10.8,6.7,8.7,9.9,5.9,7.9
21,10.8,6.7,8.7,9.9,5.9,7.9
22,10.7,6.7,8.7,9.9,5.9,7.9
23,10.7,6.7,8.7,9.9,5.9,7.9
24,10.6,6.7,8.6,9.9,5.9,7.9
25,10.6,6.6,8.5,9.9,5.9,7.9
26,10.7,6.6,8.6,10.0,5.9,7.9
27,10.7,6.7,8.6,10.0,5.9,7.9
28,10.6,6.6,8.6,10.0,5.9,7.9
29,10.5,6.4,8.4,10.0,5.9,7.9
30,10.6,6.4,8.5,10.0,5.9,7.9
31,10.4,6.3,8.3,10.0,5.9,7.9
